Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,21.99999999881158,179002367.13502204,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,139495570.8061496,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.999999999985988,181412923.1297499,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,144036718.44692004,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.99999999999949,186178347.6733337,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,149575046.87444544,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999999999999986,194611061.40461397,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,158360479.947034,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.0,201527236.6002652,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,163299153.1868695,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.0,206955662.18977425,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,163079360.5051463,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.000000000000004,289035115.25909555,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,210370702.65676385,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.0,248280754.21371582,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,183043235.97418404,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.99989416480888,211267158.78410926,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,162465689.75934982,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999993794895317,299720581.76716995,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,218463930.7834996,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999998406561062,287430852.7098228,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,208569396.67401984,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999999763414717,216354266.38420728,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,166025391.18877864,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,21.999999965094453,215289955.24093217,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,165707263.37948078,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.999999990610036,296847782.9900257,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,216190645.2767257,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,21.999999998061583,248672784.14965108,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,185848575.51988393,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,21.99999999971595,213955867.47901893,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,163549510.71215928,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,21.999999999958124,223769207.65648833,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,163361504.51792544,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,21.999999999989083,308296674.3694282,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,202846229.58998123,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,21.99999999999775,271568684.7068345,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,173143090.162583,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,21.999999999999858,228816102.03725973,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,150665849.41302145,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,21.99998150258977,227402795.84171936,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,150982063.81436634,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,21.999998523640834,311503308.9541186,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,207972534.49940386,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,21.999966806323304,262295846.4542262,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,186685916.77029604,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,21.999999151288826,222914230.96708798,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,173835691.72517553,0.0 
